geneid	chr	left	right
AC004510.1	chr19	15800757	15807226
AC004542.1	chr22	29696663	29702049
AC004659.1	chr19	14899023	14899872
AC004691.1	chr7	30777558	30898526
AC004696.1	chr19	61681364	61698613
AC004754.1	chr16	224546	227295
AC004771.1	chr17	4832149	4841629
AC004790.1	chr19	15987444	15999262
AC004797.1	chr17	44680600	44688810
AC004832.3-201	chr22	29215062	29218791
AC004832.3-206	chr22	29123007	29149826
AC004835.2	chrX	118270637	118275661
AC004836.2	chr7	105390921	105461133
AC004840.4	chr7	2443924	2454008
AC004870.2	chr7	47058916	47059797
AC004876.2-203	chr7	100631814	100633276
AC004876.2-205	chr7	100648182	100654189
AC004877.1-201	chr7	149114241	149127103
AC004877.1-202	chr7	149195719	149201864
AC004877.1-203	chr7	149104457	149114966
AC004878.3-201	chr7	74780722	74794884
AC004878.3-202	chr7	74774469	74782155
AC004878.3-203	chr7	74750389	74756316
AC004882.3	chr22	28493358	28496402
AC004889.1-201	chr7	143578263	143683165
AC004889.1-203	chr7	143601459	143622189
AC004889.1-205	chr7	143514610	143523669
AC004893.1	chr7	98448724	98472036
AC004918.1	chr7	141002999	141003780
AC004951.5	chr7	43994248	44025296
AC004953.2-201	chr7	101043326	101059296
AC004953.2-202	chr7	101065218	101073576
AC004965.2	chr7	100906891	100913300
AC004975.2	chr7	156731244	156749375
AC004980.5	chr7	76000934	76006079
AC004982.3	chr7	7573141	7613628
AC004985.2-201	chr7	43882030	43932521
AC004985.2-202	chr7	43967711	43979449
AC004997.2-201	chr22	29011106	29015616
AC004997.2-202	chr22	29082624	29102818
AC005006.2	chr22	29318214	29318713
AC005014.2	chr7	16533030	16587718
AC005020.5-201	chr7	99070839	99073480
AC005020.5-202	chr7	98982245	98983966
AC005041.2-201	chr2	74541693	74546045
AC005041.2-202	chr2	74488861	74489539
AC005042.2	chr2	159223095	159299760
AC005071.2	chr7	99743261	99757754
AC005075.2-201	chr7	87401638	87664383
AC005075.2-202	chr7	87401717	87649279
AC005075.2-203	chr7	87401717	87663742
AC005077.5	chr7	75669152	75753093
AC005082.3	chr7	23177285	23201028
AC005088.3-201	chr7	101715166	101748817
AC005088.3-202	chr7	101774127	101780642
AC005105.3	chr7	28628853	28643307
AC005154.1	chr7	30566129	30570758
AC005180.3	chr17	40141765	40183429
AC005191.1	chrX	111011781	111033867
AC005197.1-201	chr19	18863731	18864183
AC005197.1-202	chr19	18879935	18881279
AC005277.1	chr17	12633554	12835684
AC005323.1	chr17	10379116	10381898
AC005332.1-201	chr17	63633345	63635979
AC005332.1-202	chr17	63706572	63708031
AC005332.1-203	chr17	63677569	63677958
AC005358.1	chr17	12394011	12481229
AC005361.1	chr16	2829576	2831329
AC005361.5	chr16	2820174	2822285
AC005392.2	chr19	48571500	48575116
AC005481.3	chr7	157099476	157104218
AC005488.2-201	chr7	72106483	72114377
AC005488.2-202	chr7	71971255	71977592
AC005488.2-203	chr7	72076586	72081568
AC005488.2-204	chr7	72128196	72138245
AC005488.2-206	chr7	72106483	72114377
AC005493.1	chr7	34652234	34666297
AC005512.1-201	chr19	2462218	2653746
AC005512.1-203	chr19	2475374	2475941
AC005524.1	chr19	33886996	33907087
AC005538.3	chr2	234351715	234406808
AC005544.1	chr17	62457971	62458660
AC005551.1	chr19	3425406	3434401
AC005582.1	chr7	34356559	34767328
AC005587.1	chr6	132073197	132074015
AC005594.1	chr19	4630294	4636960
AC005599.5	chr4	10100424	10295484
AC005609.1	chr5	140222581	140223159
AC005632.2-201	chr16	21382027	21439266
AC005632.2-203	chr16	21451791	21469333
AC005691.1	chr17	29925255	29930501
AC005692.1	chr7	140758848	140762659
AC005697.1	chr17	23229468	23244536
AC005702.1	chr17	55442212	55451118
AC005726.1-204	chr17	23940414	23947377
AC005726.1-205	chr17	23890749	23891080
AC005726.1-206	chr17	23913832	23914357
AC005726.6	chr17	23959109	23965338
AC005726.8	chr17	24054661	24062999
AC005768.17	chr4	17483984	17485855
AC005829.1	chr17	41626716	41627083
AC005831.1	chr12	3596086	3613157
AC005838.2	chr17	15409572	15410303
AC005840.2	chr12	6418601	6422587
AC005841.3	chr12	2828658	2836474
AC005863.1	chr17	14611625	14624245
AC005868.1	chr12	125495380	125523280
AC005908.1	chr12	3466281	3466667
AC005915.1	chr5	126415368	126437071
AC005921.3	chr17	46151963	46185069
AC006008.2	chr7	149575235	149631002
AC006014.3-201	chr7	74859596	74862622
AC006014.3-202	chr7	74811170	74826198
AC006014.3-203	chr7	74804292	74812542
AC006026.2	chr7	23643291	23644794
AC006035.2	chr7	16097683	16427472
AC006070.14	chr17	36711604	36712629
AC006070.6	chr17	36675117	36676419
AC006070.8	chr17	36685437	36686475
AC006156.4	chrY	9975489	9978284
AC006156.5	chrY	9914562	9916475
AC006158.6	chrY	9255425	9298663
AC006226.4	chr4	12944136	12949024
AC006271.2	chr19	9207135	9207812
AC006273.1	chr19	763518	772952
AC006276.1	chr19	48776594	48778085
AC006299.1	chr11	22800176	22807958
AC006329.5	chr7	100717337	100719776
AC006335.2-201	chrY	6318442	6339605
AC006335.2-202	chrY	6352113	6352184
AC006357.5-201	chr7	156447931	156448444
AC006357.5-202	chr7	156496361	156501880
AC006366.4	chrY	23539798	23561000
AC006432.15-201	chr12	9614685	9620128
AC006432.15-202	chr12	9563025	9598618
AC006435.7	chr17	2255606	2266129
AC006465.3	chr7	7778517	7885379
AC006477.4	chr7	102176711	102236523
AC006483.3	chr7	5658570	5697435
AC006486.1	chr19	47438767	47440965
AC006511.5	chr12	8126105	8141616
AC006517.46	chr12	7809079	7817984
AC006557.2	chr18	14142998	14143075
AC006960.1	chr7	36330284	36396259
AC006970.6	chr7	56149869	56151584
AC006971.2	chr7	54968636	54973371
AC006983.4	chrY	23946975	23953290
AC006991.3-201	chrY	26679209	26679313
AC006991.3-202	chrY	26682583	26686974
AC006995.5-201	chr7	72147954	72157704
AC006995.5-202	chr7	72156442	72164511
AC007000.2-201	chr7	76520018	76525130
AC007000.2-203	chr7	76551138	76589380
AC007038.6	chr2	210402198	210543283
AC007050.13	chr22	19374319	19375692
AC007056.4	chr14	77956633	77956695
AC007068.17	chr12	9713576	9743306
AC007131.4	chr2	59298347	59360039
AC007163.3	chr2	201255742	201257138
AC007249.3	chr2	10511446	10513129
AC007275.4	chrY	7781733	7997647
AC007277.2	chr2	171214273	171260130
AC007318.4	chr2	65285641	65286900
AC007319.2	chr2	188001309	188021118
AC007320.3	chrY	22995128	22996972
AC007364.3	chr2	150332266	150423951
AC007387.4	chr2	74762068	74762295
AC007389.7	chr2	65517368	65563784
AC007390.5	chr2	37277135	37294372
AC007401.2	chr2	36612452	36632915
AC007405.6-201	chr2	171316467	171317808
AC007405.6-202	chr2	171335438	171363723
AC007405.6-204	chr2	171277207	171279323
AC007431.1	chr17	53176841	53177672
AC007461.8	chr17	67546359	67546975
AC007510.6	chr17	11085305	11402346
AC007546.6-201	chr12	108963366	108989883
AC007546.6-202	chr12	108973170	108995806
AC007562.6	chrY	26177652	26180437
AC007601.7	chr16	12088110	12091660
AC007608.7	chr16	49197488	49205096
AC007614.7	chr16	47940980	47941501
AC007663.29	chr22	18674046	18676915
AC007688.15	chr12	13044079	13046444
AC007731.16-201	chr22	19022622	19046647
AC007731.16-204	chr22	19044640	19046114
AC007848.11	chr12	5346171	5346650
AC007881.4	chr2	71118444	71118756
AC007920.18	chr3	188397572	188408111
AC007938.1	chr7	129933404	129935887
AC007952.15-201	chr17	18976757	19003214
AC007952.15-202	chr17	18999765	19002912
AC007952.15-203	chr17	18982173	18983727
AC007952.15-204	chr17	18878895	18880449
AC007952.5	chr17	18937249	18940399
AC007956.5	chr14	74219747	74249554
AC007964.3	chr7	53690696	53847118
AC008012.8	chr12	4467195	4517898
AC008013.8-201	chr12	31158727	31250355
AC008013.8-203	chr12	31155860	31167847
AC008021.10	chr18	70134090	70177398
AC008060.7	chr7	154867532	154881812
AC008073.5	chr2	24143963	24152818
AC008073.6	chr2	24199854	24246010
AC008073.8	chr2	24200740	24267004
AC008074.1	chr2	64535159	64542013
AC008080.1	chr7	33732118	33734590
AC008088.8	chr17	20165137	20206205
AC008103.29	chr22	17224645	17227474
AC008114.25	chr12	14547864	14612058
AC008121.43	chr12	49634049	49641193
AC008132.13	chr22	17214324	17219322
AC008132.35	chr22	17101540	17117940
AC008162.3	chrX	119890485	119893807
AC008174.2-201	chr2	186367590	186373390
AC008174.2-202	chr2	186378006	186406259
AC008175.3	chrY	23045932	23070172
AC008267.6-201	chr7	65607600	65607899
AC008267.6-203	chr7	65478479	65502830
AC008413.7	chr5	174278691	174355340
AC008429.6	chr5	172314763	172318986
AC008449.6	chr5	169223855	169340322
AC008537.5-201	chr19	46088571	46098253
AC008537.5-202	chr19	46106322	46107748
AC008623.4	chr19	51085125	51097702
AC008629.7	chr5	118337159	118337724
AC008671.6	chr5	171656129	171657985
AC008676.6-201	chr5	156819605	156834307
AC008676.6-202	chr5	156736388	156744170
AC008686.8-201	chr19	13736337	13746096
AC008686.8-202	chr19	13751884	13761972
AC008687.5	chr19	54313702	54314091
AC008734.7	chr19	8820521	8880340
AC008735.9-201	chr19	60691676	60722174
AC008735.9-202	chr19	60732912	60739473
AC008740.7-201	chr16	21321106	21365985
AC008740.7-202	chr16	21219671	21237413
AC008740.7-203	chr16	21368420	21377366
AC008743.9	chr19	55706673	55709759
AC008749.6	chr19	60964979	60966353
AC008770.7-203	chr19	11883727	11886130
AC008770.7-204	chr19	11959471	11999553
AC008813.6	chr19	58002989	58003487
AC008847.7	chr5	64465552	64489786
AC008869.5	chr5	37849694	37849948
AC008875.9	chr5	43050282	43054583
AC008888.7-201	chr19	53856478	53868076
AC008888.7-202	chr19	53908065	53914100
AC008942.6	chr5	36263356	36277657
AC008969.6	chr19	63205241	63210382
AC008988.13	chr19	373753	378118
AC008993.3	chr19	13115	21944
AC009019.10-201	chr16	22085092	22109167
AC009019.10-202	chr16	21927031	22006355
AC009022.10	chr16	68643203	68797292
AC009027.10	chr16	67709414	67723985
AC009053.7-201	chr16	73000032	73012944
AC009053.7-202	chr16	72969373	72983514
AC009053.7-204	chr16	72941770	72959560
AC009060.7-201	chr16	68765429	68778297
AC009060.7-202	chr16	68811710	68826847
AC009061.10	chr16	66045983	66072561
AC009065.8	chr16	2243188	2252344
AC009084.9	chr16	65580134	65601162
AC009086.6-202	chr16	29472581	29513788
AC009086.6-203	chr16	29463841	29467584
AC009086.6-205	chr16	29537496	29555243
AC009090.12	chr16	55743888	55777477
AC009093.10-201	chr16	28993816	29035537
AC009093.10-202	chr16	28993829	29003535
AC009107.11	chr16	56871403	56886444
AC009113.8-201	chr16	87789935	87794030
AC009113.8-203	chr16	87760292	87763056
AC009133.7	chr16	29697112	29700597
AC009139.8	chr16	75797772	75804400
AC009163.6	chr16	74131393	74147671
AC009171.3	chr16	4330254	4341301
AC009179.17	chr7	137002965	137003255
AC009220.10	chr7	138566991	138643522
AC009236.4	chr2	45254987	45335584
AC009237.3-201	chr2	95506639	95514212
AC009237.3-202	chr2	95575297	95577063
AC009237.3-203	chr2	95649119	95660048
AC009264.6	chr7	136204372	136207250
AC009271.7	chr18	51821842	52009491
AC009289.8-201	chrNT_113881	99212	105257
AC009289.8-202	chrNT_113881	18988	73308
AC009336.13-201	chr2	176700801	176702739
AC009336.13-202	chr2	176596615	176774295
AC009365.9	chr7	131984093	132064052
AC009403.2	chr7	155096686	155129856
AC009412.5	chr7	6335568	6355115
AC009451.21	chr17	8597181	8602556
AC009501.4	chr2	63202041	63669355
AC009509.7-201	chr12	27740695	27741833
AC009509.7-202	chr12	27806944	27815458
AC009532.9	chr11	10519395	10578054
AC009533.10	chr12	9332069	9356997
AC009656.11	chr11	36354131	36443329
AC009707.9	chr8	3842829	3877029
AC009779.18	chr12	54404725	54411977
AC009947.2-201	chrY	24102373	24102477
AC009947.2-202	chrY	24094712	24099103
AC009967.8	chr2	170311842	170314925
AC009976.6	chrY	18647061	18649020
AC009996.7	chr15	42613998	42616413
AC010086.4	chrY	21954260	22023120
AC010087.3	chr2	84902285	84961880
AC010141.2	chrY	22064793	22071779
AC010178.40-201	chr12	112280761	112311584
AC010178.40-202	chr12	112143653	112218316
AC010228.8	chr5	108414912	108416057
AC010320.10	chr19	57555284	57569777
AC010325.7-201	chr19	56012951	56013943
AC010325.7-202	chr19	55953527	55955023
AC010326.7-201	chr19	63076002	63092182
AC010326.7-202	chr19	63065474	63068867
AC010332.7-201	chr19	57648678	57653219
AC010332.7-202	chr19	57579303	57579923
AC010333.7	chr16	12661158	12805245
AC010336.8-201	chr19	7839631	7842008
AC010336.8-202	chr19	7850330	7850782
AC010422.7-201	chr19	12641517	12647645
AC010422.7-202	chr19	12615089	12615733
AC010441.6	chr5	150138514	150156489
AC010442.7-201	chr5	523626	526177
AC010442.7-203	chr5	495578	495937
AC010451.9	chr5	5091634	5123107
AC010467.9-202	chr19	58532187	58541438
AC010467.9-203	chr19	58565733	58576124
AC010491.4	chr5	14767789	14769601
AC010522.3	chr19	63042237	63045300
AC010531.8-201	chr16	85893924	85908523
AC010531.8-203	chr16	85997979	85999233
AC010536.8	chr16	86291389	86292831
AC010598.6	chr5	81611037	81649981
AC010606.7-201	chr19	7007220	7009651
AC010606.7-202	chr19	6981588	6984018
AC010606.7-203	chr19	6988759	6991190
AC010624.8-201	chr19	55245658	55261862
AC010624.8-202	chr19	55253785	55255431
AC010642.5	chr19	63522443	63522763
AC010654.8	chr16	11838698	11839457
AC010655.7-201	chr7	127883120	127885707
AC010655.7-202	chr7	127893850	127896489
AC010655.7-203	chr7	127883952	127885243
AC010679.6	chr2	190710731	190776453
AC010724.6-201	chr15	80985634	80992216
AC010724.6-202	chr15	81002559	81006263
AC010724.6-203	chr15	80895765	80905140
AC010724.6-204	chr15	80937720	80979956
AC010724.6-205	chr15	80930492	80943038
AC010724.6-206	chr15	80928293	80929615
AC010724.6-208	chr15	80925296	80927189
AC010754.10	chr18	19848382	19854249
AC010834.19	chr8	94781949	94809845
AC010872.2	chr2	21200294	21219649
AC010883.8	chr2	43307984	43309496
AC010896.15	chr2	26422458	26472263
AC010931.17	chr15	72174238	72179639
AC010969.11	chr2	10060737	10063609
AC010973.6	chr7	150518899	150533473
AC010974.9	chr2	133145844	134042501
AC010987.1	chr2	68122844	68143634
AC010990.3	chr7	27121492	27129028
AC011043.4-201	chrNT_113901	163709	166022
AC011043.4-202	chrNT_113901	145270	149491
AC011043.4-203	chrNT_113901	30870	31271
AC011043.4-206	chrNT_113901	44724	86646
AC011139.8	chr18	35168834	35169467
AC011239.5	chr2	23712729	23714460
AC011295.3-201	chr15	80780956	80782278
AC011295.3-202	chr15	80741877	80772852
AC011295.3-203	chr15	80783381	80785274
AC011298.2	chr2	241274424	241277212
AC011298.7	chr2	241268534	241273620
AC011346.5	chr5	147628616	147645966
AC011379.7	chr5	139485705	139488575
AC011382.4-201	chr5	149360491	149412883
AC011382.4-202	chr5	149444095	149454873
AC011427.4	chr5	135198264	135236335
AC011443.6	chr19	44266785	44293318
AC011447.7	chr19	20103703	20210261
AC011450.4	chr19	54523236	54535371
AC011452.6	chr19	55190998	55205139
AC011455.6	chr19	44127728	44128547
AC011466.6	chr19	53375839	53399021
AC011467.7	chr19	22570923	22578075
AC011472.7	chr19	11209126	11213618
AC011477.5	chr19	19806955	19807176
AC011484.7-201	chr19	51689681	51690853
AC011484.7-202	chr19	51686293	51690562
AC011487.5	chr19	58796366	58798565
AC011491.7-201	chr19	6347380	6363349
AC011491.7-202	chr19	6329247	6329687
AC011492.8	chr19	15423438	15436382
AC011495.8	chr19	54934830	54958355
AC011498.7-201	chr19	4423255	4453213
AC011498.7-202	chr19	4473546	4486208
AC011499.5	chr19	5733989	5735251
AC011500.7-201	chr19	44697593	44703166
AC011500.7-202	chr19	44622052	44623922
AC011503.4	chr19	23889552	23910101
AC011506.3	chr19	61450079	61450666
AC011511.11	chr19	10276479	10281556
AC011592.5	chr3	145645536	145645727
AC011611.26	chr12	74644079	74645047
AC011645.3-202	chrNT_113870	141901	144500
AC011645.3-203	chrNT_113870	124215	132884
AC011645.3-204	chrNT_113870	50967	53996
AC011645.3-205	chrNT_113870	35367	37336
AC011718.2	chr22	18962132	18986715
AC011740.7	chr2	26941701	27090984
AC011744.8	chr4	4227640	4227900
AC011773.9	chr8	86316756	86319855
AC011815.7	chr18	31114829	31124163
AC011841.7-201	chrNT_113930	117169	119085
AC011841.7-202	chrNT_113930	59574	61887
AC011895.4	chr7	100310671	100324221
AC011997.8	chr2	198266075	198347792
AC012005.4	chrY	24765502	24768702
AC012044.15-201	chr10	45678832	45679083
AC012044.15-202	chr10	45682692	45683000
AC012100.1	chr15	48787031	48845202
AC012307.8	chr2	96238409	96272086
AC012358.9	chr2	55364659	55365110
AC012360.7	chr2	105248138	105248500
AC012413.10	chr8	52394698	52884558
AC012459.7	chr2	200878861	201051498
AC012467.9	chr3	53894267	53901029
AC012487.12-201	chr2	108490437	108517084
AC012487.12-202	chr2	108492643	108517107
AC012533.11	chr8	82045082	82050570
AC012555.27	chr12	102774898	102800496
AC012568.7	chr15	65281065	65334063
AC012607.8	chr5	5475807	5543337
AC012615.4	chr19	1856373	1877009
AC012618.7	chr19	12214948	12220437
AC012621.8	chr16	19442709	19472231
AC012622.6	chr5	109931539	110090271
AC012652.1	chr15	39310729	39361377
AC012671.7	chr2	88528841	88533027
AC013268.5-201	chr2	110103138	110111006
AC013268.5-202	chr2	110108526	110111006
AC013269.10	chr2	131013138	131023926
AC013272.5	chr2	96051422	96064454
AC013283.23	chr12	97531314	97562863
AC013414.7-201	chr2	55009122	55047494
AC013414.7-202	chr2	54805703	55009023
AC013469.8	chr2	240629903	240631072
AC013470.10	chr7	12383715	12410056
AC013480.1	chr2	42016012	42034447
AC013480.12	chr2	42128664	42139172
AC013486.12	chr15	72141855	72144841
AC013489.17	chr15	86859493	86862485
AC013553.14	chr15	63124761	63132787
AC015688.11	chr17	23005888	23006547
AC015723.8	chr15	98702186	98707957
AC015802.21	chr17	72065446	72068110
AC015804.14	chr17	73386704	73391764
AC015818.32-201	chr17	20268500	20274916
AC015818.32-202	chr17	20363217	20372592
AC015818.32-204	chr17	20345421	20348386
AC015908.10	chr17	10646701	10647978
AC015917.30	chr17	23818941	23819587
AC015936.14	chr17	40283636	40283740
AC015976.3	chr2	172572736	172654009
AC015989.11	chr18	58642403	58643704
AC016026.15	chr22	16650422	16694766
AC016044.11	chr15	50963988	50965962
AC016136.21	chr12	91620970	91626196
AC016142.22	chr3	152071522	152094779
AC016251.9	chr15	94632284	94632664
AC016450.10	chr11	26972204	26975206
AC016572.6	chrNT_113890	64189	115936
AC016586.9	chr19	3993083	3993496
AC016587.9	chr19	39205403	39276055
AC016629.7-201	chr19	63778641	63785935
AC016629.7-203	chr19	63778624	63802660
AC016683.7	chr2	113709588	113741051
AC016694.2	chrY	23208154	23212545
AC016698.3	chrY	25055951	25056688
AC016708.11	chr2	215270704	215271033
AC016722.9	chr2	46897326	46903298
AC016747.7	chr2	61222870	61222950
AC016757.10	chr2	238798513	238804993
AC016885.16	chr8	94311043	94311564
AC016889.28	chr17	38280217	38304247
AC016910.6	chr2	144413578	144416789
AC016940.7-201	chrX	148481980	148663581
AC016940.7-202	chrX	148430463	148438875
AC016970.16	chr3	105264567	105265575
AC017019.3-201	chrY	10154435	10162871
AC017019.3-202	chrY	10138709	10141308
AC017028.11	chr2	239748430	239748990
AC017048.6	chr2	177202814	177210905
AC017081.8	chr2	206928708	206929088
AC017104.8	chr2	232007049	232007384
AC018413.10	chr18	72336465	72339033
AC018450.26	chr3	144203062	144262257
AC018452.11	chr3	155321884	155457031
AC018470.11	chr2	174908847	174910397
AC018470.2	chr2	174907920	174911466
AC018506.5	chr3	9413147	9413668
AC018554.7	chr16	58949782	58950885
AC018558.6	chr16	34538845	34539757
AC018620.11	chr8	74523517	74528012
AC018630.40-201	chr12	11078354	11078542
AC018630.40-202	chr12	11139270	11139458
AC018643.3	chr7	131464993	131465529
AC018648.5	chr7	32923396	32949307
AC018653.29	chr12	7152443	7165701
AC018682.4	chr2	46560199	46565067
AC018692.9-201	chrNT_113885	86545	86855
AC018692.9-202	chrNT_113885	49252	78411
AC018692.9-203	chrNT_113885	96417	96721
AC018692.9-204	chrNT_113885	95002	95324
AC018692.9-205	chrNT_113885	92188	92496
AC018720.5	chr7	74962235	74969197
AC018755.3-201	chr19	56786848	56789442
AC018755.3-202	chr19	56888409	56900254
AC018755.3-204	chr19	56793609	56796696
AC018793.12-201	chr11	4219862	4220446
AC018793.12-202	chr11	4307671	4308255
AC018865.4	chr2	130500888	130525174
AC018867.5	chr2	187070085	187073638
AC018890.13	chr2	175292774	175293811
AC018892.8-201	chr2	97055439	97061098
AC018892.8-202	chr2	97111057	97112112
AC018892.8-203	chr2	97075615	97089841
AC018892.8-204	chr2	97143121	97229827
AC018921.22	chr12	68150438	68220821
AC019016.7	chr15	34884114	34898001
AC019066.6	chr7	47769488	47772894
AC019171.4	chr2	38970525	39056094
AC019172.4	chr2	3778044	3794876
AC019178.7	chr2	190496307	190497187
AC019231.7	chr2	225973608	226226978
AC019278.6	chr15	31229284	31274189
AC019294.7-201	chr15	73864422	73866376
AC019294.7-203	chr15	73862215	73863180
AC019294.7-205	chr15	73818462	73901333
AC019322.8	chr15	28483235	28486882
AC020593.1	chr4	48683022	48758850
AC020659.5	chr15	39972283	39975425
AC020663.7	chr16	4793208	4837294
AC020741.4	chr4	61968559	61976534
AC020743.7	chr7	50146240	50169682
AC020763.6-201	chr16	69252608	69277455
AC020763.6-203	chr16	69346537	69364646
AC020890.22	chr3	139845406	139846226
AC020894.5	chr5	167889088	167890086
AC020898.6	chr5	78568095	78658794
AC020901.8	chr5	80514754	80520628
AC020907.6-201	chr19	40263171	40289174
AC020907.6-203	chr19	40293688	40294870
AC020908.7	chr19	17021573	17047343
