geneid	chr	left	right
ABCC3	chr17	48712218	48769613
ABCC4	chr13	95672083	95953687
ABCC5	chr3	183637722	183735803
ABCC6	chr16	16242785	16317321
ABCC8	chr11	17414432	17498449
ABCC9	chr12	21950335	22089608
ABCD1	chrX	152990323	153010216
ABCD2	chr12	39943835	40013553
ABCD3	chr1	94883933	94984219
ABCD4	chr14	74752126	74769759
ABCE1	chr4	146019084	146050331
ABCF1	chr6	30539153	30559309
ABCF2	chr7	150904923	150924252
ABCF3	chr3	183903811	183911795
ABCG1	chr21	43619799	43717354
ABCG2	chr4	89011416	89152474
ABCG4	chr11	119019722	119033360
ABCG5	chr2	44039611	44065958
ABCG8	chr2	44066103	44105605
ABHD1	chr2	27346703	27353680
ABHD10	chr3	111697882	111712210
ABHD11	chr7	73150424	73153197
ABHD12	chr20	25275379	25371619
ABHD12B	chr14	51338878	51371688
ABHD13	chr13	108870727	108886603
ABHD14A	chr3	52005442	52014490
ABHD14A-ACY1	chr3	52009076	52023190
ABHD14B	chr3	52002526	52017425
ABHD15	chr17	27887565	27894155
ABHD16A	chr6	31654726	31671221
ABHD16B	chr20	62492566	62494341
ABHD17A	chr19	1876809	1885546
ABHD17B	chr9	74477368	74525847
ABHD17C	chr15	80972025	81046860
ABHD2	chr15	89631381	89745591
ABHD3	chr18	19230858	19284766
ABHD4	chr14	23067146	23081265
ABHD5	chr3	43732362	43760541
ABHD6	chr3	58223233	58280459
ABHD8	chr19	17402940	17414282
ABI1	chr10	27035525	27150016
ABI2	chr2	204192942	204312446
ABI3	chr17	47287589	47300587
ABI3BP	chr3	100468000	100712359
ABL1	chr9	133589333	133761070
ABL2	chr1	179068462	179198736
ABLIM1	chr10	116190872	116444414
ABLIM2	chr4	7967043	8160559
ABLIM3	chr5	148521046	148640105
ABR	chr17	906767	1090616
ABRA	chr8	107771711	107782473
ABRACL	chr6	139349819	139364439
ABT1	chr6	26597180	26600278
ABTB1	chr3	127391781	127399768
ABTB2	chr11	34172535	34379555
AC000003.2	chr17	10048831	10050277
AC002310.13	chr16	30545548	30569600
AC002365.1	chrX	9935392	9936134
AC002451.1	chr7	95171457	95173854
AC002472.1	chr22	21358030	21360736
AC002472.13	chr22	21400249	21418453
AC002553.1	chr17	15943505	15943994
AC003002.4	chr19	57874934	57909952
AC003002.6	chr19	57901376	57931362
AC003006.7	chr19	58193413	58264943
AC003043.1	chr17	42335297	42355825
AC003101.1	chr17	29898161	29902678
AC003102.1	chr17	42325758	42327236
AC004017.1	chr19	58203868	58204128
AC004076.7	chr19	57905551	57949825
AC004076.9	chr19	57949338	57988871
AC004381.6	chr16	20817821	20860987
AC004466.1	chr12	48178706	48179787
AC004528.1	chr19	999601	999952
AC004817.1	chr14	71683031	71683462
AC004824.2	chr1	17655507	17676070
AC004899.1	chr7	48887362	48891221
AC005003.1	chr22	31742875	31744670
AC005008.2	chr7	80804824	80819706
AC005082.1	chr7	23210760	23234503
AC005358.1	chr17	12626199	12661542
AC005477.1	chr14	72456191	72458326
AC005481.5	chr7	157406715	157411457
AC005488.1	chr7	72459478	72464996
AC005493.1	chr7	34685709	34699772
AC005544.1	chr17	65027509	65028198
AC005549.3	chr17	32581900	32582306
AC005606.1	chr16	2031633	2032918
AC005609.1	chr5	140240341	140243224
AC005841.1	chr12	2958397	2966213
AC006014.1	chr7	74999908	75005425
AC006116.20	chr19	56795550	56813464
AC006126.3	chr19	45690646	45720191
AC006132.1	chr19	46144949	46146098
AC006156.1	chrY	9293012	9323893
AC006372.1	chr7	157318477	157320019
AC006435.1	chr17	2310279	2318731
AC006449.1	chr17	36884086	36884451
AC006455.1	chr7	62809239	62812151
AC006486.1	chr19	42746927	42749125
AC006486.9	chr19	42738735	42759284
AC006538.4	chr19	2717767	2740046
AC006547.14	chr22	20135950	20138399
AC006946.15	chr22	17602485	17612994
AC006967.1	chr7	156902674	156903764
AC007040.11	chr2	71166448	71222466
AC007204.1	chr19	20047769	20048639
AC007216.2	chr16	12062000	12062333
AC007375.1	chr14	77607026	77609339
AC007377.1	chr2	40488147	40490117
AC007382.1	chr2	37068327	37068530
AC007390.5	chr2	37423631	37440868
AC007401.2	chr2	36758948	36779411
AC007405.2	chr2	171568961	171571077
AC007421.1	chr17	7517264	7517427
AC007431.1	chr17	55821842	55822673
AC007461.1	chr17	70036164	70036872
AC007557.1	chr2	217735495	217736362
AC007773.3	chr19	32895915	32896466
AC007919.2	chr3	172361483	172361740
AC007952.1	chr17	19041448	19041895
AC007952.5	chr17	18996287	18999511
AC007952.6	chr17	19059041	19062206
AC007956.1	chr14	75158879	75179800
AC007965.1	chrY	28111776	28114889
AC008060.7	chr7	155174771	155189051
AC008132.1	chr22	18721427	18745407
AC008132.13	chr22	18834324	18839322
AC008267.1	chr7	65939543	65940709
AC008271.1	chr2	15840525	15884463
AC008372.1	chr14	78227711	78228033
AC008387.1	chr5	72894203	72896845
AC008394.1	chr5	86512423	86534822
AC008443.1	chr5	180682720	180684578
AC008498.1	chr5	60411538	60411762
AC008686.1	chr19	13890884	13900972
AC008914.1	chr5	55224468	55224569
AC008948.1	chr5	101569696	101571279
AC008964.1	chr5	39105358	39107350
AC009041.2	chr16	1031252	1031663
AC009060.1	chr16	70239303	70239683
AC009065.1	chr16	2303738	2312343
AC009365.3	chr7	132333553	132413528
AC009403.2	chr7	155403925	155437095
AC009802.1	chr18	61602042	61609601
AC009892.10	chr19	55147173	55150343
AC009977.1	chrY	21737895	21738068
AC010327.2	chr19	55738587	55741647
AC010336.1	chr19	7963689	7968427
AC010368.2	chr5	35051012	35051198
AC010441.1	chr5	150157867	150176297
AC010536.1	chr16	87727144	87729753
AC010646.3	chr19	17346749	17366257
AC010760.1	chr15	22456895	22460351
AC010877.1	chrY	15418467	15429181
AC011239.1	chr2	23729913	23747214
AC011294.3	chr7	46727477	46736720
AC011298.1	chr2	241624478	241624705
AC011308.1	chr2	157352597	157352655
AC011366.3	chr5	109218883	109220452
AC011475.1	chr19	10751715	10752093
AC011484.1	chr19	46997765	46999755
AC011500.1	chr19	39930212	39932082
AC011530.4	chr19	46282729	46288971
AC011551.3	chr19	47050313	47104118
AC011755.1	chr2	133874577	133876625
AC011897.1	chr2	14775215	14790933
AC011997.1	chr2	198557830	198639547
AC012067.1	chrY	5306691	5312605
AC012123.1	chr18	30349758	30354376
AC012215.1	chr8	35649365	35653384
AC012313.1	chr19	58907457	58908407
AC012360.1	chr2	105867759	105869601
AC012360.2	chr2	105882490	105882585
AC012414.1	chr15	21004687	21005367
AC012485.1	chr2	239192329	239192498
AC012493.2	chr2	100986705	100987007
AC013269.5	chr2	131296668	131307456
AC013449.1	chr2	26251074	26251481
AC013468.1	chr2	190642909	190643157
AC013469.1	chr2	241053907	241064304
AC015660.1	chr15	100038447	100038578
AC015987.2	chr7	135611542	135613214
AC015989.1	chr18	60491423	60492724
AC015989.2	chr18	60505640	60505948
AC016251.1	chr15	96831280	96831660
AC016559.1	chr5	78523714	78523911
AC016586.1	chr19	4041127	4043154
AC016722.1	chr2	47043822	47049794
AC016722.2	chr2	47043836	47085349
AC016745.1	chr2	114204992	114205429
AC016752.1	chrY	25847479	25850592
AC016757.3	chr2	239133754	239140318
AC016885.1	chr8	94241867	94242388
AC017028.1	chr2	240083493	240084053
AC017081.1	chr2	207220463	207220843
AC017104.2	chr2	232316906	232317864
AC018445.1	chr18	77275812	77276057
AC018470.1	chr2	175200601	175202151
AC018512.1	chr15	44075041	44075231
AC018630.1	chr12	11187087	11187275
AC018755.1	chr19	52095036	52097630
AC018816.3	chr3	4855981	4928977
AC018867.1	chr2	187361840	187365393
AC018867.2	chr2	187367219	187367356
AC019171.1	chr2	39186764	39187483
AC019206.1	chr2	70129482	70129841
AC019294.1	chr15	76030311	76031568
AC020629.1	chr12	42624050	42628075
AC020907.1	chr19	35596873	35598141
AC020922.1	chr19	55851254	55856561
AC020952.1	chr19	31640362	31640757
AC021218.2	chr7	155755326	155759037
AC021860.1	chr4	38628029	38666430
AC022210.1	chr2	85122209	85122345
AC022400.2	chr10	75531935	75532378
AC022431.2	chr5	55807394	55902059
AC022498.1	chr3	187896331	187898598
AC022532.1	chr10	72194585	72196314
AC022819.2	chr15	99859300	99859828
AC023469.1	chr2	151857734	151905288
AC023590.1	chr8	119294481	119297202
AC023632.1	chr8	95558771	95560630
AC024257.1	chr12	48759919	48761738
AC024580.1	chr19	56662314	56663250
AC024592.12	chr19	5867626	5903714
AC024940.1	chr12	31477250	31478879
AC025262.1	chr12	65090189	65090329
AC025278.1	chr19	7011514	7013338
AC025287.1	chr16	75728367	75734044
AC026202.1	chr3	5229227	5229982
AC026310.1	chr12	25055243	25057615
AC026369.1	chr12	147052	147377
AC026407.1	chr5	157160003	157161727
AC026461.1	chr16	56662971	56666150
AC026703.1	chr5	32788945	32791819
AC026740.1	chr5	667759	668839
AC027228.1	chr15	78830023	78831288
AC027307.3	chr19	1440838	1441937
AC027309.1	chr5	172036245	172036436
AC027763.2	chr17	6780107	6915636
AC037199.1	chr19	51377552	51378040
AC037459.4	chr8	22446787	22459597
AC040160.1	chr16	67244251	67260930
AC040977.1	chr17	6915928	6917755
AC051642.1	chr8	23412287	23420651
AC055736.1	chr12	52922915	52922980
AC061975.10	chr17	26638667	26642323
AC061992.1	chr17	76422409	76422834
AC062017.1	chr2	240323130	240324051
AC064874.1	chr2	236682499	236692031
AC068039.1	chr2	172560844	172567314
AC068533.7	chr7	65552756	65617228
AC068620.1	chr4	57276682	57277131
AC068987.1	chr12	52203789	52206636
AC069368.3	chr15	65134147	65223118
AC069547.1	chr10	52094298	52095876
AC069547.2	chr10	52152766	52154321
AC073063.1	chr7	99040552	99040747
AC073188.1	chr7	62858414	62858860
AC073333.1	chr7	16828866	16829246
AC073342.1	chr7	142919163	142919360
AC073343.1	chr7	6713376	6715991
AC073528.1	chr12	77949297	77950568
AC073569.1	chr12	80198742	80202321
AC073610.5	chr12	49315767	49333446
AC073657.1	chr15	42073346	42076229
AC074091.13	chr2	27928653	27938599
AC074212.3	chr19	46236509	46267792
AC074389.6	chr7	1732446	1733961
AC078925.1	chr12	131514221	131514769
AC079210.1	chr17	66539369	66542970
AC079341.1	chr4	122685740	122687962
AC079354.1	chr2	202965158	203059074
AC079354.2	chr2	203104292	203104435
AC079602.1	chr12	121407641	121410095
AC079612.1	chr2	240499995	240507788
AC083862.1	chr7	134832797	134832916
AC084121.16	chr8	7636113	7638935
AC087239.1	chr12	25381515	25390840
AC087477.1	chr15	96904487	96904900
AC087645.1	chr17	76210462	76220740
AC090186.1	chr8	52730143	52730969
AC090427.1	chr19	14834747	14835121
AC090574.1	chr8	70850403	70850635
AC090616.2	chr17	30468245	30470154
AC090673.2	chr12	66291518	66317967
AC091150.1	chr18	45778672	45779208
AC091801.1	chr7	3186626	3214287
AC091948.1	chr5	147698550	147701891
AC092291.2	chr16	14564842	14565054
AC092384.1	chr16	88894366	88894545
AC092675.3	chr2	98949677	98972468
AC092687.4	chr2	10987703	10995081
AC092782.1	chr1	243388058	243395911
AC092811.1	chr1	225600404	225602040
AC092850.1	chr12	131780067	131782763
AC092964.1	chr3	172034218	172039513
AC092964.2	chr3	172019438	172019686
AC093157.1	chr1	101455761	101457653
AC093323.1	chr4	6693782	6694189
AC093677.1	chr4	75023327	75024085
AC093802.1	chr2	240684554	240724577
AC096582.1	chr7	45902684	45906045
AC096644.1	chr1	220603286	220608023
AC096677.1	chr1	201592013	201592738
AC097381.1	chr4	7940728	7942022
AC099344.1	chr2	11603927	11606274
AC099552.4	chr7	154988397	154990146
AC102948.2	chr17	50939481	50976948
AC103801.2	chr11	22646860	22647369
AC103809.2	chr17	72346906	72348271
AC104057.1	chr7	65112081	65113280
AC104472.1	chr3	155459933	155461515
AC104534.3	chr19	39308111	39330818
AC104667.3	chr2	238499812	238504624
AC104794.4	chr2	10223908	10226228
AC104809.3	chr2	241861986	241904043
AC104841.2	chr2	242167319	242168850
AC105020.1	chr15	75970672	75973093
AC106017.1	chr17	19122674	19125839
AC106873.4	chr7	116605900	116607526
AC106876.2	chr2	233877324	233880595
AC107021.1	chr3	145782358	145784156
AC108868.1	chr2	107099728	107103848
AC109583.1	chr3	46927699	46930171
AC109829.1	chr2	27760253	27790011
AC110084.1	chr2	27998851	28009186
AC110615.1	chr4	76871883	76878526
AC110619.2	chr2	241388835	241396131
AC110771.1	chr4	187111913	187112626
AC110781.3	chr7	1878222	1889567
AC110792.1	chr4	54927213	54927377
AC111200.1	chr2	87089023	87092827
AC112205.1	chr5	162866447	162873821
AC112693.2	chr15	93749295	93751277
AC112715.2	chr2	238165734	238166319
AC112721.1	chr2	238330063	238333919
AC114494.1	chr1	31902192	31902614
AC114546.1	chr15	35270552	35272268
AC114783.1	chr2	127656491	127659673
AC115618.1	chrX	48431482	48433275
AC116407.2	chr17	30506379	30506885
AC117395.1	chr3	149689066	149690535
AC117834.1	chr8	93895865	93898013
AC119673.1	chr1	205682497	205684153
AC120194.1	chr8	71485681	71486671
AC121757.1	chr12	52709128	52709790
AC124890.1	chr12	69186125	69187743
AC126614.1	chr12	57810198	57810536
AC127496.1	chr17	78977135	78978932
AC129492.6	chr17	7982800	7984883
AC131097.4	chr2	242836188	242844702
AC131935.1	chr11	11747060	11747257
AC131971.1	chr11	3011093	3012563
AC132186.1	chr16	66516775	66519747
AC132192.1	chr11	9481747	9482010
AC132216.1	chr11	33902189	33903338
AC132872.2	chr17	80214131	80216080
AC135048.1	chr16	30996808	30997533
AC135178.1	chr17	8261731	8263538
AC135983.2	chr15	32774822	32780287
AC136297.1	chr11	1295809	1296033
AC136604.1	chr5	179078298	179079445
AC137056.1	chr16	20499024	20500981
AC137932.1	chr16	89334512	89339452
AC138393.1	chr1	224215760	224216371
AC138517.1	chr5	138852108	138852506
AC138647.1	chr8	142524738	142528837
AC138655.1	chr2	47799601	47801998
AC138969.4	chr16	16425734	16444447
AC139100.2	chr18	77905894	77936315
AC139426.2	chr15	32694108	32695493
AC139768.1	chr12	51619860	51620085
AC140061.12	chr12	50690489	50691718
AC140481.2	chr2	131328402	131339941
AC142381.1	chr16	32063311	32063601
AC144568.2	chr8	22601	29775
AC145676.2	chr7	227554	229557
AC174470.1	chr17	79780293	79784533
AC187652.1	chr7	302918	304070
AC226150.4	chr12	133787246	133787772
ACAA1	chr3	38164201	38178733
ACAA2	chr18	47309869	47340330
ACACA	chr17	35441923	35766871
ACACB	chr12	109554400	109706031
ACAD10	chr12	112123880	112194898
ACAD11	chr3	132276988	132379567
ACAD8	chr11	134123389	134135749
ACAD9	chr3	128598454	128631957
ACADL	chr2	211052663	211090215
ACADM	chr1	76190036	76229364
ACADS	chr12	121163538	121177811
ACADSB	chr10	124768532	124817827
ACADVL	chr17	7120444	7128585
ACAN	chr15	89346674	89418585
ACAP1	chr17	7239848	7254797
ACAP2	chr3	194995465	195163807
ACAP3	chr1	1227756	1243398
ACAT1	chr11	107992243	108018503
ACAT2	chr6	160181360	160200087
ACBD3	chr1	226332380	226374431
ACBD4	chr17	43209967	43221539
ACBD5	chr10	27484146	27531059
ACBD6	chr1	180257365	180472089
ACBD7	chr10	15119522	15130775
ACCS	chr11	44087818	44105764
ACCSL	chr11	44069531	44081527
ACD	chr16	67691415	67694713
ACE	chr17	61562184	61599205
ACE2	chrX	15579156	15620192
ACER1	chr19	6306153	6333640
ACER2	chr9	19409057	19452018
ACER3	chr11	76571917	76737841
ACHE	chr7	100487615	100493753
ACIN1	chr14	23527776	23564823
ACKR2	chr3	42850964	42908775
ACKR3	chr2	237476430	237489740
ACKR4	chr3	132316081	132321059
ACLY	chr17	40023184	40075272
ACMSD	chr2	135596117	135659604
ACN9	chr7	96745902	96811075
ACO1	chr9	32384618	32454767
ACO2	chr22	41865129	41924993
ACOT1	chr14	74003818	74010498
ACOT11	chr1	55013901	55104865
ACOT12	chr5	80625824	80689962
ACOT13	chr6	24667263	24705293
ACOT2	chr14	74034324	74042357
ACOT4	chr14	74058410	74063200
ACOT6	chr14	74077649	74086425
ACOT7	chr1	6324333	6454451
ACOT8	chr20	44470360	44486045
ACOT9	chrX	23721801	23784592
ACOX1	chr17	73937596	73975515
ACOX2	chr3	58490863	58523046
ACOX3	chr4	8368009	8442438
ACOXL	chr2	111490150	111875799
ACP1	chr2	264869	278283
ACP2	chr11	47260853	47270457
ACP5	chr19	11685475	11689800
ACP6	chr1	147101453	147131116
ACPL2	chr3	140950670	141013748
ACPP	chr3	132036251	132087142
ACPT	chr19	51293672	51298481
ACR	chr22	51176624	51183762
ACRBP	chr12	6747241	6756626
ACRC	chrX	70798261	70833433
ACRV1	chr11	125541417	125551018
ACSBG1	chr15	78463256	78538030
ACSBG2	chr19	6135646	6193105
ACSF2	chr17	48503519	48552196
ACSF3	chr16	89160217	89222171
ACSL1	chr4	185676754	185747972
ACSL3	chr2	223725652	223809357
ACSL4	chrX	108884566	108976632
ACSL5	chr10	114133776	114188134
ACSL6	chr5	131283308	131347315
ACSM1	chr16	20634808	20709066
ACSM2A	chr16	20462898	20498991
ACSM2B	chr16	20547548	20587689
ACSM3	chr16	20621565	20787242
ACSM4	chr12	7456880	7481320
ACSM5	chr16	20420856	20452658
ACSS1	chr20	24987496	25039616
ACSS2	chr20	33462903	33515769
ACSS3	chr12	81331594	81528742
ACTA1	chr1	229566996	229569845
ACTA2	chr10	90694833	90751147
ACTB	chr7	5568223	5603415
ACTBL2	chr5	56775846	56778636
ACTC1	chr15	35080297	35088340
ACTG1	chr17	79478372	79490873
ACTG2	chr2	74120094	74146992
ACTL10	chr20	32254304	32256331
ACTL6A	chr3	179280668	179306196
ACTL6B	chr7	100240720	100254084
ACTL7A	chr9	111624603	111626035
ACTL7B	chr9	111616871	111619239
ACTL8	chr1	18081808	18153558
ACTL9	chr19	8807751	8809172
ACTN1	chr14	69340860	69446157
ACTN2	chr1	236849808	236927931
ACTN4	chr19	39138310	39222223
ACTR10	chr14	58666856	58701750
ACTR1A	chr10	104238986	104262468
ACTR1B	chr2	98272431	98280570
ACTR2	chr2	65454887	65498387
ACTR3	chr2	114647537	114720173
ACTR3B	chr7	152456834	152552463
ACTR3C	chr7	149941005	150020662
ACTR5	chr20	37377085	37400834
ACTR6	chr12	100593865	100618201
ACTR8	chr3	53901093	53916229
ACTRT1	chrX	127184943	127186382
ACTRT2	chr1	2938046	2939465
ACTRT3	chr3	169484709	169487683
ACVR1	chr2	158592961	158732374
ACVR1B	chr12	52345451	52390862
ACVR1C	chr2	158383279	158485517
ACVR2A	chr2	148602086	148688393
ACVR2B	chr3	38495342	38534633
ACVRL1	chr12	52301202	52314853
ACY1	chr3	52009066	52023199
ACY3	chr11	67410026	67418130
ACYP1	chr14	75519940	75536186
ACYP2	chr2	54198240	54531996
ADA	chr20	43248163	43280383
ADAD1	chr4	123300168	123350939
ADAD2	chr16	84224744	84230772
ADAL	chr15	43622872	43646096
ADAM10	chr15	58887403	59042177
ADAM11	chr17	42836399	42859214
ADAM12	chr10	127700950	128077024
ADAM15	chr1	155023762	155035252
ADAM17	chr2	9628615	9695917
ADAM18	chr8	39442097	39587582
ADAM19	chr5	156822574	157002768
ADAM2	chr8	39601254	39695808
ADAM20	chr14	70989075	71001732
ADAM21	chr14	70918874	70926616
ADAM22	chr7	87563458	87832204
ADAM23	chr2	207308263	207485851
ADAM28	chr8	24151553	24216531
ADAM29	chr4	175839509	175899331
ADAM30	chr1	120436156	120439118
ADAM32	chr8	38965090	39142428
ADAM33	chr20	3648617	3662893
ADAM7	chr8	24298539	24367078
ADAM8	chr10	135075907	135090372
ADAM9	chr8	38854505	38962520
ADAMDEC1	chr8	24241798	24263526
ADAMTS1	chr21	28208066	28217728
ADAMTS10	chr19	8645611	8675585
ADAMTS12	chr5	33523640	33892297
ADAMTS13	chr9	136287120	136324508
ADAMTS14	chr10	72432559	72522197
ADAMTS15	chr11	130318869	130346532
ADAMTS16	chr5	5140443	5320417
ADAMTS17	chr15	100511794	100882210
ADAMTS18	chr16	77316025	77469011
ADAMTS19	chr5	128795958	129074376
ADAMTS2	chr5	178537852	178772431
ADAMTS20	chr12	43747669	43945724
ADAMTS3	chr4	73146686	73434516
ADAMTS4	chr1	161154098	161168846
ADAMTS5	chr21	28290231	28338832
ADAMTS6	chr5	64444563	64777747
ADAMTS7	chr15	79051545	79103773
ADAMTS8	chr11	130274820	130298888
ADAMTS9	chr3	64501490	64673676
ADAMTSL1	chr9	18473892	18910948
ADAMTSL2	chr9	136397286	136440641
ADAMTSL3	chr15	84322838	84708594
ADAMTSL4	chr1	150521898	150533408
ADAMTSL4-AS1	chr1	150533480	150533969
ADAMTSL5	chr19	1505023	1513188
ADAP1	chr7	937540	994333
ADAP2	chr17	29248698	29286340
ADAR	chr1	154554538	154600474
ADARB1	chr21	46494493	46646478
ADARB2	chr10	1228073	1779670
ADAT1	chr16	75633900	75657198
ADAT2	chr6	143748126	143771810
ADAT3	chr19	1905377	1913444
ADC	chr1	33546768	33586130
ADCK1	chr14	78266426	78400297
ADCK2	chr7	140372953	140395745
ADCK3	chr1	227085237	227175246
ADCK4	chr19	41197434	41222790
ADCK5	chr8	145597741	145618451
ADCY1	chr7	45614121	45762715
ADCY10	chr1	167778625	167883453
ADCY2	chr5	7396321	7830194
ADCY3	chr2	25042038	25142708
ADCY4	chr14	24787555	24804277
ADCY5	chr3	123001143	123168605
ADCY6	chr12	49159981	49182820
ADCY7	chr16	50300427	50352046
ADCY8	chr8	131792547	132054672
ADCY9	chr16	4012652	4166186
ADCYAP1	chr18	905110	912173
ADCYAP1R1	chr7	31092076	31151089
ADD1	chr4	2845584	2931789
ADD2	chr2	70883916	70995309
ADD3	chr10	111765562	111894088
ADGB	chr6	146920101	147136598
ADH1A	chr4	100197524	100212185
ADH1B	chr4	100226121	100242556
ADH4	chr4	100044808	100065448
ADH5	chr4	99992132	100009902
ADH6	chr4	100123796	100140403
ADH7	chr4	100333418	100356894
ADHFE1	chr8	67344721	67381142
ADI1	chr2	3501132	3523507
ADIG	chr20	37209838	37217104
ADIPOQ	chr3	186560463	186576252
ADIPOR1	chr1	202909963	202927700
ADIPOR2	chr12	1800193	1897844
ADIRF	chr10	88727949	88730672
ADK	chr10	75910960	76468457
ADM	chr11	10326227	10328944
ADM2	chr22	50919985	50924869
ADM5	chr19	50191921	50193832
ADNP	chr20	49505585	49547750
ADNP2	chr18	77866915	77898234
ADO	chr10	64564516	64568238
ADORA1	chr1	203059782	203136532
ADORA2A	chr22	24820377	24837313
ADORA2B	chr17	15848231	15879060
ADORA3	chr1	112025970	112106584
ADPGK	chr15	73043710	73076126
ADPRH	chr3	119298115	119308792
ADPRHL1	chr13	114076948	114107839
ADPRHL2	chr1	36554476	36559533
ADPRM	chr17	10600911	10614550
ADRA1A	chr8	26605667	26722922
ADRA1B	chr5	159343790	159399551
ADRA1D	chr20	4201329	4229721
ADRA2A	chr10	112836790	112840658
ADRA2B	chr2	96778707	96781984
ADRA2C	chr4	3768075	3770218
ADRB1	chr10	115803806	115806667
ADRB2	chr5	148206156	148208196
ADRB3	chr8	37820516	37824483
ADRBK1	chr11	67033881	67054027
ADRBK2	chr22	25960816	26125261
ADRM1	chr20	60878061	60883918
ADSL	chr22	40761043	40786467
ADSS	chr1	244571796	244615436
ADSSL1	chr14	105190523	105213647
ADTRP	chr6	11735801	11807279
AE000662.92	chr14	23025534	23027939
AEBP1	chr7	44143960	44154159
AEBP2	chr12	19653027	19873735
AEN	chr15	89164527	89175513
AES	chr19	3052908	3063105
AF131215.5	chr8	10983980	10987745
AF165138.7	chr21	15966041	16031142
AF196779.12	chrX	48929385	48937546
AFAP1	chr4	7760442	7941653
AFAP1L1	chr5	148651434	148721365
AFAP1L2	chr10	116054583	116164515
AFF1	chr4	87856154	88062206
AFF2	chrX	147582139	148082193
AFF3	chr2	100163718	100759037
AFF4	chr5	132211071	132299326
AFG3L2	chr18	12328943	12377313
AFM	chr4	74347400	74369691
AFMID	chr17	76183398	76203782
AFP	chr4	74301880	74321891
AFTPH	chr2	64751465	64820139
AGA	chr4	178351924	178363657
AGAP1	chr2	236402751	237040444
AGAP10	chr10	47191844	47239738
AGAP2	chr12	58118994	58135940
AGAP2-AS1	chr12	58120054	58122139
AGAP3	chr7	150782954	150841521
AGAP4	chr10	46321042	46342921
AGAP5	chr10	75434045	75457639
AGAP6	chr10	51748078	51770259
AGAP7	chr10	51464162	51486327
AGAP8	chr10	51224681	51371321
AGAP9	chr10	48189612	48237508
AGBL1	chr15	86685227	87572283
AGBL2	chr11	47681143	47736912
AGBL3	chr7	134671264	134832715
AGBL4	chr1	48998527	50489585
AGBL5	chr2	27274549	27293488
AGER	chr6	32148745	32152101
AGFG1	chr2	228336878	228425930
AGFG2	chr7	100136848	100165842
AGGF1	chr5	76326210	76361059
AGK	chr7	141250989	141355044
AGL	chr1	100315640	100389576
AGMAT	chr1	15898848	15911605
AGMO	chr7	15239943	15601640
AGO1	chr1	36335409	36386559
AGO2	chr8	141541264	141645718
AGO3	chr1	36396679	36538101
AGO4	chr1	36273773	36323491
AGPAT1	chr6	32135989	32145873
AGPAT2	chr9	139567595	139581875
AGPAT3	chr21	45285067	45406417
AGPAT4	chr6	161551011	161695057
AGPAT5	chr8	6565878	6617184
AGPAT6	chr8	41435719	41482520
AGPAT9	chr4	84457261	84527028
AGPS	chr2	178257372	178408564
AGR2	chr7	16832266	16872932
AGR3	chr7	16899029	16921611
AGRN	chr1	955503	991496
AGRP	chr16	67516474	67517716
AGT	chr1	230838269	230850043
AGTPBP1	chr9	88161455	88356944
AGTR1	chr3	148415571	148460790
AGTR2	chrX	115301975	115306225
AGTRAP	chr1	11796141	11810767
AGXT	chr2	241807896	241818537
AGXT2	chr5	34998206	35048198
AHCTF1	chr1	247002400	247094726
