geneid	chr	left	right	source
AC004491.2	chr7	75200714	75206216	protein_coding
AC004492.1	chr7	106722566	106722632	miRNA
AC004510.1	chr19	15800757	15807226	protein_coding
AC004522.3	chr7	99416325	99423082	snoRNA_pseudogene
AC004534.1	chr7	143779718	143779801	snRNA_pseudogene
AC004538.2	chr7	11263833	11264687	processed_pseudogene
AC004540.1	chr7	26404876	26505119	pseudogene
AC004541.1	chr7	80780097	80780186	snRNA_pseudogene
AC004542.1	chr22	29696663	29702049	protein_coding
AC004544.1	chr4	98042975	98043295	retrotransposed
AC004547.1	chr7	78220900	78220969	scRNA_pseudogene
AC004558.3	chr19	47816204	47829026	unprocessed_pseudogene
AC004585.1	chr17	36036461	36036828	pseudogene
AC004659.1	chr19	14899023	14899872	pseudogene
AC004668.1	chr7	102669899	102669985	snRNA_pseudogene
AC004691.1	chr7	30777558	30898526	protein_coding
AC004692.2	chr7	43280283	43280666	pseudogene
AC004696.1	chr19	61681364	61698613	protein_coding
AC004699.1	chr19	15024741	15024885	miRNA
AC004745.2	chr7	96758762	96758844	miRNA
AC004746.1	chr7	88435151	88435255	rRNA_pseudogene
AC004754.1	chr16	224546	227295	protein_coding
AC004765.2	chr12	760559	760687	snRNA_pseudogene
AC004771.1	chr17	4832149	4841629	pseudogene
AC004774.1	chr7	96407316	96407611	scRNA_pseudogene
AC004788.1	chr7	34898555	34898683	snoRNA_pseudogene
AC004790.1	chr19	15987444	15999262	protein_coding
AC004792.1	chr19	62063514	62063955	pseudogene
AC004797.1	chr17	44680600	44688810	protein_coding
AC004815.2	chr12	118941086	118941448	scRNA_pseudogene
AC004832.3-201	chr22	29215062	29218791	protein_coding
AC004832.3-202	chr22	29268862	29270070	retrotransposed
AC004832.3-203	chr22	29161531	29162231	pseudogene
AC004832.3-204	chr22	29147034	29147116	snRNA_pseudogene
AC004832.3-205	chr22	29207307	29207904	pseudogene
AC004832.3-206	chr22	29123007	29149826	protein_coding
AC004833.1	chr7	143975212	143976601	pseudogene
AC004834.2	chr7	98708860	98733543	pseudogene
AC004836.2	chr7	105390921	105461133	protein_coding
AC004837.1	chr7	39691135	39691222	miRNA
AC004840.4	chr7	2443924	2454008	protein_coding
AC004846.2	chr14	72783233	72783340	snRNA_pseudogene
AC004855.1	chr7	106797817	106798014	snoRNA_pseudogene
AC004859.3	chr7	44722859	44724373	pseudogene
AC004862.1	chr7	79785505	79785748	scRNA_pseudogene
AC004866.1	chr7	80800853	80801083	rRNA_pseudogene
AC004870.2	chr7	47058916	47059797	protein_coding
AC004875.2	chr7	121001959	121002044	miRNA
AC004876.2-201	chr7	100659002	100659102	pseudogene
AC004876.2-202	chr7	100644332	100644432	pseudogene
AC004876.2-203	chr7	100631814	100633276	protein_coding
AC004876.2-204	chr7	100633612	100634454	pseudogene
AC004876.2-205	chr7	100648182	100654189	protein_coding
AC004877.1-201	chr7	149114241	149127103	protein_coding
AC004877.1-202	chr7	149195719	149201864	protein_coding
AC004877.1-203	chr7	149104457	149114966	protein_coding
AC004878.3-201	chr7	74780722	74794884	protein_coding
AC004878.3-202	chr7	74774469	74782155	protein_coding
AC004878.3-203	chr7	74750389	74756316	protein_coding
AC004882.3	chr22	28493358	28496402	protein_coding
AC004884.1	chr7	104672335	104672653	pseudogene
AC004888.1	chr7	120100157	120100262	snRNA_pseudogene
AC004889.1-201	chr7	143578263	143683165	protein_coding
AC004889.1-202	chr7	143485252	143486185	pseudogene
AC004889.1-203	chr7	143601459	143622189	protein_coding
AC004889.1-204	chr7	143514455	143514559	snRNA_pseudogene
AC004889.1-205	chr7	143514610	143523669	protein_coding
AC004893.1	chr7	98448724	98472036	protein_coding
AC004894.1	chr7	82057034	82058073	pseudogene
AC004895.2	chr7	6053880	6054171	scRNA_pseudogene
AC004898.3	chr7	156640208	156640286	scRNA_pseudogene
AC004909.2	chr7	14016822	14016913	scRNA_pseudogene
AC004909.3	chr7	14076685	14077530	processed_pseudogene
AC004910.2	chr7	67826870	67826974	rRNA_pseudogene
AC004912.2	chr7	29918669	29918773	snoRNA_pseudogene
AC004917.2	chr7	106087581	106088566	pseudogene
AC004918.1	chr7	141002999	141003780	protein_coding
AC004921.2	chr7	76890938	76891041	snoRNA_pseudogene
AC004922.2	chr7	98849539	98849637	snoRNA_pseudogene
AC004924.2	chr11	67457261	67457409	miRNA
AC004932.4	chr7	148927296	148927367	tRNA_pseudogene
AC004941.2	chr7	148684678	148684753	tRNA_pseudogene
AC004941.4	chr7	148662048	148662881	processed_pseudogene
AC004941.5	chr7	148649889	148650116	processed_pseudogene
AC004951.5	chr7	43994248	44025296	protein_coding
AC004953.2-201	chr7	101043326	101059296	protein_coding
AC004953.2-202	chr7	101065218	101073576	protein_coding
AC004957.1	chr7	84450808	84451761	retrotransposed
AC004965.2	chr7	100906891	100913300	protein_coding
AC004967.3	chr7	97433838	97439561	pseudogene
AC004968.1	chr14	70985159	70985428	scRNA_pseudogene
AC004969.1	chr7	89638591	89638674	miRNA
AC004975.2	chr7	156731244	156749375	protein_coding
AC004979.1	chr7	141148515	141148587	Mt_tRNA_pseudogene
AC004980.5	chr7	76000934	76006079	protein_coding
AC004982.3	chr7	7573141	7613628	protein_coding
AC004985.2-201	chr7	43882030	43932521	protein_coding
AC004985.2-202	chr7	43967711	43979449	protein_coding
AC004987.2	chr7	39839338	39841069	snRNA_pseudogene
AC004990.1	chr7	77505801	77505892	miRNA
AC004991.1	chr7	98320550	98320649	snoRNA_pseudogene
AC004994.2	chr7	18955046	18955910	processed_pseudogene
AC004996.1	chr7	27334732	27335677	pseudogene
AC004997.2-201	chr22	29011106	29015616	protein_coding
AC004997.2-202	chr22	29082624	29102818	protein_coding
AC005004.3	chr22	30483188	30483484	scRNA_pseudogene
AC005005.1	chr22	29881949	29882631	scRNA_pseudogene
AC005006.2	chr22	29318214	29318713	protein_coding
AC005007.3	chr7	11012551	11013028	processed_pseudogene
AC005013.3	chr7	28961752	28964187	pseudogene
AC005014.2	chr7	16533030	16587718	protein_coding
AC005014.5	chr7	16589932	16592907	processed_pseudogene
AC005017.1	chr7	28285354	28285855	pseudogene
AC005019.1	chr7	13878006	13878666	pseudogene
AC005020.5-201	chr7	99070839	99073480	protein_coding
AC005020.5-202	chr7	98982245	98983966	protein_coding
AC005034.2	chr2	75708592	75708802	snoRNA_pseudogene
AC005037.2	chr2	201477146	201477507	miRNA
AC005039.3	chr7	14196945	14198307	processed_pseudogene
AC005041.2-201	chr2	74541693	74546045	protein_coding
AC005041.2-202	chr2	74488861	74489539	protein_coding
AC005042.2	chr2	159223095	159299760	protein_coding
AC005046.3	chr7	107427472	107427663	snoRNA_pseudogene
AC005048.2	chr7	107464527	107464617	miRNA
AC005060.3	chr7	20712856	20712982	scRNA_pseudogene
AC005062.1	chr7	20008913	20009181	pseudogene
AC005067.2	chr7	75370880	75371153	pseudogene
AC005071.2	chr7	99743261	99757754	miRNA
AC005075.2-201	chr7	87401638	87664383	protein_coding
AC005075.2-202	chr7	87401717	87649279	protein_coding
AC005075.2-203	chr7	87401717	87663742	protein_coding
AC005077.5	chr7	75669152	75753093	snRNA_pseudogene
AC005079.6	chr7	22304738	22304827	rRNA_pseudogene
AC005082.3	chr7	23177285	23201028	protein_coding
AC005086.2	chr7	101592296	101592796	pseudogene
AC005088.3-201	chr7	101715166	101748817	protein_coding
AC005088.3-202	chr7	101774127	101780642	protein_coding
AC005088.3-203	chr7	101752215	101752328	rRNA_pseudogene
AC005094.2	chr7	21407063	21407756	processed_pseudogene
AC005104.1	chr2	241952915	241952987	snoRNA_pseudogene
AC005105.3	chr7	28628853	28643307	protein_coding
AC005138.1	chr17	66818898	66818972	snRNA_pseudogene
AC005154.1	chr7	30566129	30570758	protein_coding
AC005159.1	chr7	81757329	81757414	miRNA
AC005161.1	chr7	110355610	110355689	miRNA
AC005174.1	chr7	34759561	34759851	scRNA_pseudogene
AC005180.3	chr17	40141765	40183429	protein_coding
AC005181.1	chr17	66514750	66514817	rRNA_pseudogene
AC005187.1	chr4	111439089	111439155	miRNA
AC005192.1	chr7	111947758	111948777	pseudogene
AC005197.1-201	chr19	18863731	18864183	protein_coding
AC005197.1-202	chr19	18879935	18881279	protein_coding
AC005215.1	chr5	141926449	141926825	processed_pseudogene
AC005215.2	chr5	141894004	141894094	miRNA
AC005220.1	chr20	51925198	51925503	retrotransposed
AC005224.5	chr17	14036155	14036406	unprocessed_pseudogene
AC005225.2	chr14	73125282	73125354	tRNA_pseudogene
AC005229.2	chr7	147965207	147965617	pseudogene
AC005236.4	chr7	71949952	71950241	scRNA_pseudogene
AC005237.2	chr2	241706813	241707031	processed_pseudogene
AC005239.1	chr19	44551630	44551928	scRNA_pseudogene
AC005243.1	chr17	67836654	67836854	scRNA_pseudogene
AC005250.1	chr7	102285135	102285368	snRNA_pseudogene
AC005251.1	chr7	20833444	20833910	scRNA_pseudogene
AC005277.1	chr17	12633554	12835684	protein_coding
AC005280.3	chr14	73027476	73029400	miRNA
AC005284.1	chr17	10897830	10897977	miRNA
AC005300.5	chr22	16053826	16054198	processed_pseudogene
AC005323.1	chr17	10379116	10381898	protein_coding
AC005324.1	chr17	15548271	15548939	pseudogene
AC005326.2	chr7	97354392	97357175	retrotransposed
AC005329.1	chr19	1340082	1340533	pseudogene
AC005332.1-201	chr17	63633345	63635979	protein_coding
AC005332.1-202	chr17	63706572	63708031	protein_coding
AC005332.1-203	chr17	63677569	63677958	protein_coding
AC005343.1	chr12	1844721	1845144	pseudogene
AC005355.1	chr5	133881400	133881627	scRNA_pseudogene
AC005358.1	chr17	12394011	12481229	protein_coding
AC005361.1	chr16	2829576	2831329	protein_coding
AC005361.5	chr16	2820174	2822285	protein_coding
AC005392.2	chr19	48571500	48575116	protein_coding
AC005392.8	chr19	48527336	48527399	unprocessed_pseudogene
AC005399.21	chr22	16213771	16214067	scRNA_pseudogene
AC005400.1	chr7	35087426	35192299	pseudogene
AC005410.3	chr17	11880565	11880679	snRNA_pseudogene
AC005412.8	chr17	24554567	24555618	pseudogene
AC005481.3	chr7	157099476	157104218	protein_coding
AC005484.2	chr14	73595824	73596181	pseudogene
AC005488.2-201	chr7	72106483	72114377	protein_coding
AC005488.2-202	chr7	71971255	71977592	protein_coding
AC005488.2-203	chr7	72076586	72081568	protein_coding
AC005488.2-204	chr7	72128196	72138245	protein_coding
AC005488.2-205	chr7	72001793	72002069	pseudogene
AC005488.2-206	chr7	72106483	72114377	protein_coding
AC005488.2-207	chr7	72078150	72081173	pseudogene
AC005493.1	chr7	34652234	34666297	protein_coding
AC005512.1-201	chr19	2462218	2653746	protein_coding
AC005512.1-202	chr19	2454045	2454138	snRNA_pseudogene
AC005512.1-203	chr19	2475374	2475941	protein_coding
AC005517.2	chr17	15287678	15288230	processed_pseudogene
AC005517.3	chr17	15350905	15351393	processed_pseudogene
AC005519.3	chr14	73914179	73915059	pseudogene
AC005520.2	chr14	73335471	73335573	snoRNA_pseudogene
AC005521.1	chr7	123907814	123908682	pseudogene
AC005522.2	chr7	75828383	75829696	pseudogene
AC005524.1	chr19	33886996	33907087	protein_coding
AC005534.6	chr7	156118810	156119199	processed_pseudogene
AC005538.3	chr2	234351715	234406808	protein_coding
AC005544.1	chr17	62457971	62458660	protein_coding
AC005548.1	chr17	11001497	11001755	scRNA_pseudogene
AC005550.6	chr7	15707585	15707902	processed_pseudogene
AC005551.1	chr19	3425406	3434401	protein_coding
AC005562.1	chr17	26053650	26053919	scRNA_pseudogene
AC005582.1	chr7	34356559	34767328	protein_coding
AC005586.2	chr7	149684774	149684857	scRNA_pseudogene
AC005587.1	chr6	132071517	132073028	retrotransposed
AC005588.2	chr7	153296683	153296844	processed_pseudogene
AC005594.1	chr19	4630294	4636960	protein_coding
AC005598.6	chr4	15619397	15619508	snRNA_pseudogene
AC005599.5	chr4	10100424	10295484	protein_coding
AC005609.1	chr5	140222581	140223159	protein_coding
AC005626.1	chr19	46761830	46763418	rRNA_pseudogene
AC005631.4	chr7	151764913	151771034	pseudogene
AC005632.2-201	chr16	21382027	21439266	protein_coding
AC005632.2-202	chr16	21506424	21506687	snoRNA_pseudogene
AC005632.2-203	chr16	21451791	21469333	protein_coding
AC005682.6	chr7	22870018	22887494	unprocessed_pseudogene
AC005691.1	chr17	29925255	29930501	protein_coding
AC005692.1	chr7	140758848	140762659	protein_coding
AC005696.1	chr17	2531000	2531280	snoRNA_pseudogene
AC005697.1	chr17	23229468	23244536	protein_coding
AC005702.1	chr17	55442212	55451118	protein_coding
AC005703.2	chr17	15252426	15252730	snoRNA_pseudogene
AC005722.1	chr17	19505912	19505995	snoRNA_pseudogene
AC005722.4	chr17	19599285	19600114	processed_pseudogene
AC005726.1-201	chr17	23958639	23958792	pseudogene
AC005726.1-202	chr17	23911672	23911822	pseudogene
AC005726.1-203	chr17	23873541	23873688	pseudogene
AC005726.1-204	chr17	23940414	23947377	protein_coding
AC005726.1-205	chr17	23890749	23891080	protein_coding
AC005726.1-206	chr17	23913832	23914357	protein_coding
AC005726.6	chr17	23959109	23965338	protein_coding
AC005726.8	chr17	24054661	24062999	protein_coding
AC005730.2	chr17	19900192	19900535	processed_pseudogene
AC005740.1	chr5	141255917	141256426	retrotransposed
AC005768.17	chr4	17483984	17485855	protein_coding
AC005773.1	chr17	14791783	14792240	processed_pseudogene
AC005774.1	chr16	7716845	7716953	snoRNA_pseudogene
AC005795.1	chr19	46703908	46704653	pseudogene
AC005805.12	chr12	110306916	110308357	pseudogene
AC005822.1	chr17	16460887	16461920	processed_pseudogene
AC005826.1	chr7	35155590	35155669	snRNA_pseudogene
AC005829.1	chr17	41692691	41693749	protein_coding
AC005831.1	chr12	3596086	3613157	protein_coding
AC005837.1	chr17	72159309	72159610	pseudogene
AC005838.2	chr17	15409572	15410303	protein_coding
AC005839.1	chr17	46530545	46530633	snoRNA_pseudogene
AC005840.2	chr12	6418601	6422587	pseudogene
AC005841.3	chr12	2828658	2836474	pseudogene
AC005846.1	chr12	6075126	6075397	scRNA_pseudogene
AC005856.1	chr17	56584011	56584752	pseudogene
AC005863.1	chr17	14611625	14624245	protein_coding
AC005868.1	chr12	125495380	125523280	protein_coding
AC005879.3	chr10	119954514	119954675	snRNA_pseudogene
AC005883.14	chr17	46934848	46935612	pseudogene
AC005884.1	chr17	56502014	56502484	processed_pseudogene
AC005908.1	chr12	3466281	3466667	protein_coding
AC005911.6	chr12	2933673	2933765	snRNA_pseudogene
AC005915.1	chr5	126415368	126437071	protein_coding
AC005921.3	chr17	46151963	46185069	protein_coding
AC005932.1	chr19	18929767	18930067	scRNA_pseudogene
AC005943.1	chr19	1521575	1521859	scRNA_pseudogene
AC005962.1	chr17	53589359	53590164	pseudogene
AC005971.5	chr17	16035871	16036186	scRNA_pseudogene
AC005996.2	chr7	150792670	150792956	scRNA_pseudogene
AC006000.3	chr7	12882834	12883032	snRNA_pseudogene
AC006000.4	chr7	12928695	12929070	processed_pseudogene
AC006001.2	chr7	65659267	65659784	pseudogene
AC006008.2	chr7	149575235	149631002	protein_coding
AC006013.3	chr7	67200681	67200748	tRNA_pseudogene
